Date,Value
2013-12-31,81.3
2012-12-31,81.2
2011-12-31,81.1
2010-12-31,81.0
2009-12-31,80.6
2008-12-31,80.5
2007-12-31,80.4
2006-12-31,80.2
2005-12-31,79.9
2004-12-31,79.9
2003-12-31,79.6
2002-12-31,79.5
2001-12-31,79.4
2000-12-31,79.3
1999-12-31,79.4
1998-12-31,79.5
1997-12-31,79.4
1996-12-31,79.08
1995-12-31,78.9
1994-12-31,78.96
1993-12-31,78.8
1992-12-31,79.12
1991-12-31,78.9
1990-12-31,78.8
1989-12-31,78.5
1988-12-31,78.3
1987-12-31,78.3
1986-12-31,78.2
1985-12-31,78.2
1984-12-31,78.2
1983-12-31,78.1
1982-12-31,78.1
1981-12-31,77.9
1980-12-31,77.5
1979-12-31,77.8
1978-12-31,77.3
1977-12-31,77.2
1976-12-31,76.8
1975-12-31,76.6
1974-12-31,75.9
1973-12-31,75.3
1972-12-31,75.1
1971-12-31,75.0
1970-12-31,74.7
1969-12-31,74.4
1968-12-31,74.1
1967-12-31,74.3
1966-12-31,73.9
1965-12-31,73.8
1964-12-31,73.7
1963-12-31,73.4
1962-12-31,73.5
1961-12-31,73.6
1960-12-31,73.1
