Date,Value
2013-12-31,76.5
2012-12-31,76.4
2011-12-31,76.3
2010-12-31,76.2
2009-12-31,75.7
2008-12-31,75.5
2007-12-31,75.4
2006-12-31,75.1
2005-12-31,74.9
2004-12-31,74.9
2003-12-31,74.5
2002-12-31,74.3
2001-12-31,74.2
2000-12-31,74.1
1999-12-31,73.9
1998-12-31,73.8
1997-12-31,73.6
1996-12-31,73.06
1995-12-31,72.5
1994-12-31,72.35
1993-12-31,72.2
1992-12-31,72.33
1991-12-31,72.0
1990-12-31,71.8
1989-12-31,71.7
1988-12-31,71.4
1987-12-31,71.4
1986-12-31,71.2
1985-12-31,71.1
1984-12-31,71.1
1983-12-31,71.0
1982-12-31,70.8
1981-12-31,70.3
1980-12-31,70.0
1979-12-31,70.0
1978-12-31,69.6
1977-12-31,69.5
1976-12-31,69.1
1975-12-31,68.8
1974-12-31,68.2
1973-12-31,67.6
1972-12-31,67.4
1971-12-31,67.4
1970-12-31,67.1
1969-12-31,66.8
1968-12-31,66.0
1967-12-31,67.0
1966-12-31,66.7
1965-12-31,66.8
1964-12-31,66.8
1963-12-31,66.6
1962-12-31,66.9
1961-12-31,67.1
1960-12-31,66.6
